year,mean_C_degC,max_C_degC,min_C_degC
100,-37.27486276794107,-34.32672681010621,-40.223004282758325
200,-37.271684188127665,-34.322471611145545,-40.22090232923156
300,-37.268504735502916,-34.31821529430019,-40.21879974155135
400,-37.26532525846753,-34.31395895816905,-40.216697123029604
500,-37.26214650371057,-34.30970360233809,-40.2145949674572
600,-37.258969217750035,-34.30545022616036,-40.212493768518726
700,-37.25579414675724,-34.3011998285227,-40.210394019669394
800,-37.252622036393404,-34.29695340762294,-40.20829621403547
900,-37.24945363160532,-34.29271196070522,-40.206200844269745
1000,-37.24628967648701,-34.28847648386537,-40.204108402461884
1100,-37.24313091408348,-34.28424797178914,-40.202019380020744
1200,-37.239978086212915,-34.28002741752161,-40.19993426754172
1300,-37.236831933307684,-34.27581581224686,-40.19785355470336
1400,-37.23369319422932,-34.27161414504258,-40.19577773015709
1500,-37.230562606100506,-34.267423402659716,-40.19370728140103
1600,-37.227440904124734,-34.26324456927222,-40.1916426946722
1700,-37.224328821422205,-34.25907862626204,-40.189584454826814
1800,-37.221227088859365,-34.254926551995055,-40.18753304524358
1900,-37.21813643485575,-34.25078932155674,-40.18548894767849
2000,-37.21505758524708,-34.24666790656579,-40.183452642183624
2100,-37.21199126308696,-34.24256327492151,-40.18142460697857
2200,-37.20893818849302,-34.238476390583685,-40.17940531834455
2300,-37.20589907846434,-34.23440821333824,-40.17739525049237
2400,-37.20287464672754,-34.230359698580855,-40.17539487548905
2500,-37.1998656035577,-34.22633179709271,-40.17340466311501
2600,-37.19687265561518,-34.222325454808555,-40.17142508075392
2700,-37.19389650578617,-34.21834161260395,-40.16945659331353
2800,-37.19093785300768,-34.214381206071096,-40.16749966308117
2900,-37.18799739210144,-34.210445165284625,-40.165554749635845
3000,-37.185075813623826,-34.20653441461815,-40.163622309727316
3100,-37.18217380370061,-34.20264987249615,-40.16170279718378
3200,-37.179292043864535,-34.198792451192986,-40.15979666280637
3300,-37.176431210882896,-34.19496305660783,-40.157904354235995
3400,-37.173591976603035,-34.19116258805295,-40.156026315867365
3500,-37.170775007809056,-34.187391938049075,-40.15416298875829
3600,-37.1679809660603,-34.18365199213292,-40.15231481050324
3700,-37.165210507528826,-34.17994362861393,-40.15048221513956
3800,-37.16246428284623,-34.17626771838505,-40.14866563304892
3900,-37.1597429369466,-34.172625124715125,-40.14686549083777
4000,-37.15704710892905,-34.16901670305623,-40.14508221126616
4100,-37.154377431898496,-34.16544330082888,-40.14331621313721
4200,-37.151734532827874,-34.16190575724883,-40.14156791118981
4300,-37.14911903238604,-34.158404903082015,-40.13983771600536
4400,-37.14653154481175,-34.154941560493086,-40.13812603391119
4500,-37.14397267775939,-34.151516542824965,-40.1364332668783
4600,-37.141443032176966,-34.14813065443565,-40.134759812455684
4700,-37.138943202144446,-34.14478469049763,-40.13310606365252
4800,-37.13647377473626,-34.14147943679711,-40.13147240883944
4900,-37.134035329888206,-34.13821566955292,-40.129859231682104
5000,-37.131628440258055,-34.13499415525138,-40.128266911024184
5100,-37.129253671085536,-34.13181565044124,-40.12669582080335
5200,-37.126911580094315,-34.12868090159793,-40.125146330004156
5300,-37.12460271729557,-34.12559064489588,-40.123618802508844
5400,-37.12232762494901,-34.1225456060921,-40.12211359706632
5500,-37.12008683731656,-34.11954650027309,-40.12063106713035
5600,-37.11788088064273,-34.116594031767676,-40.11917156089106
